source_id,source_name,target_id,target_name,relationship,best_confidence,method_count,avg_score
naics:23,Construction,uc:Ac_10_40,Construction,semantically_similar,A,2,1.0
naics:23814,Masonry Contractors,uc:Ac_15_50_50,Masonry surveying,semantically_similar,A,2,0.716
naics:238140,Masonry Contractors,uc:Ac_15_50_50,Masonry surveying,semantically_similar,A,2,0.716
naics:23,Construction,uc:En_90_30,Construction entities,semantically_similar,A,2,0.71
naics:23813,Framing Contractors,uc:Pr_20_29_03_31,Framing anchors,semantically_similar,A,2,0.702
naics:238130,Framing Contractors,uc:Pr_20_29_03_31,Framing anchors,semantically_similar,A,2,0.702
naics:23813,Framing Contractors,uc:Pr_20_29_03_32,Framing fasteners,semantically_similar,A,2,0.699
naics:238130,Framing Contractors,uc:Pr_20_29_03_32,Framing fasteners,semantically_similar,A,2,0.699
naics:23834,Tile and Terrazzo Contractors,uc:Pr_35_93_96_89,Terrazzo tile skirtings,semantically_similar,A,2,0.685
naics:238340,Tile and Terrazzo Contractors,uc:Pr_35_93_96_89,Terrazzo tile skirtings,semantically_similar,A,2,0.685
naics:23813,Framing Contractors,uc:Ss_20_10_75,Structural framing systems,semantically_similar,A,2,0.665
naics:238130,Framing Contractors,uc:Ss_20_10_75,Structural framing systems,semantically_similar,A,2,0.665
naics:236118,Residential Remodelers,uc:Co_45,Residential complexes,semantically_similar,A,2,0.633
naics:236118,Residential Remodelers,uc:Ac_45,Residential activities,semantically_similar,A,2,0.627
naics:23814,Masonry Contractors,uc:Pr_20_29_56_50,Masonry nails,semantically_similar,A,2,0.619
naics:238140,Masonry Contractors,uc:Pr_20_29_56_50,Masonry nails,semantically_similar,A,2,0.619
naics:23815,Glass and Glazing Contractors,uc:Ss_25_60_35,Glazing systems,semantically_similar,A,2,0.615
naics:238150,Glass and Glazing Contractors,uc:Ss_25_60_35,Glazing systems,semantically_similar,A,2,0.615
naics:23814,Masonry Contractors,uc:Pr_20_29_63_50,Masonry plugs,semantically_similar,A,2,0.609
naics:238140,Masonry Contractors,uc:Pr_20_29_63_50,Masonry plugs,semantically_similar,A,2,0.609
naics:236118,Residential Remodelers,uc:En_45_10,Residential buildings,semantically_similar,A,2,0.604
naics:236118,Residential Remodelers,uc:En_45,Residential entities,semantically_similar,A,2,0.603
naics:23814,Masonry Contractors,uc:Pr_20_31_12_50,Masonry cements,semantically_similar,A,2,0.602
naics:238140,Masonry Contractors,uc:Pr_20_31_12_50,Masonry cements,semantically_similar,A,2,0.602
naics:23814,Masonry Contractors,uc:Pr_20_29_23_50,Masonry dowels,semantically_similar,A,2,0.6
naics:238140,Masonry Contractors,uc:Pr_20_29_23_50,Masonry dowels,semantically_similar,A,2,0.6
