# Generated: 2025-12-30T02:28:48.853220
# Source: scripts/generate_crosswalk.py
# Review status: auto-generated, pending expert review
naics_code,naics_name,relationship,uniclass_code,uniclass_table,uniclass_title,cardinality,confidence,notes
23,Construction,relatedTo,Pr_30_31_76_16,Pr,Construction joint sealants,1:N,B,score=0.333
23,Construction,relatedTo,Pr_30_31_76_02,Pr,Acrylic construction joint sealants,1:N,C,score=0.25
23,Construction,relatedTo,Pr_30_31_76_62,Pr,Polysulfide construction joint sealants,1:N,C,score=0.25
23,Construction,relatedTo,Pr_30_31_76_77,Pr,Silicone construction joint sealants,1:N,C,score=0.25
23,Construction,relatedTo,Pr_30_31_76_09,Pr,Butyl rubber construction joint sealants,1:N,C,score=0.2
23,Construction,relatedTo,Pr_30_31_76_65,Pr,Polyurethane (PUR) construction joint sealants,1:N,C,score=0.2
23,Construction,relatedTo,Pr_35_90_31_28,Pr,Floor construction joint trims,1:N,C,score=0.2
23,Construction,relatedTo,Ac_10_40,Ac,Construction,1:N,A,score=1.0
23,Construction,relatedTo,Ac_10,Ac,"Preparation, construction and repair",1:N,B,score=0.333
23,Construction,relatedTo,En_90_30,En,Construction entities,1:N,A,score=0.5
23,Construction,relatedTo,En_90_30_15,En,Construction sites,1:N,A,score=0.5
236,Construction of Buildings,coordinates,Pr_20_65,Pr,Prefabricated buildings and structures,1:N,C,score=0.25
236,Construction of Buildings,coordinates,Pr_30_31_76_16,Pr,Construction joint sealants,1:N,C,score=0.25
236,Construction of Buildings,coordinates,Pr_30_31_76_02,Pr,Acrylic construction joint sealants,1:N,C,score=0.2
236,Construction of Buildings,coordinates,Pr_30_31_76_62,Pr,Polysulfide construction joint sealants,1:N,C,score=0.2
236,Construction of Buildings,coordinates,Pr_30_31_76_77,Pr,Silicone construction joint sealants,1:N,C,score=0.2
236,Construction of Buildings,coordinates,Ac_10_40,Ac,Construction,1:N,A,score=0.5
236,Construction of Buildings,coordinates,Ac_10,Ac,"Preparation, construction and repair",1:N,C,score=0.25
236,Construction of Buildings,manages,En_20_10_45,En,Governmental buildings,1:N,B,score=0.333
236,Construction of Buildings,manages,En_20_50_05,En,Auction buildings,1:N,B,score=0.333
236,Construction of Buildings,manages,En_20_50_97,En,Wholesale buildings,1:N,B,score=0.333
