source_id,source_name,target_id,target_name,relationship,confidence,score,decision,notes
naics:23,Construction,uc:Pr_30_31_76_16,Construction joint sealants,relatedTo,B,0.333,,
naics:23,Construction,uc:Pr_30_31_76_02,Acrylic construction joint sealants,relatedTo,C,0.25,,
naics:23,Construction,uc:Pr_30_31_76_62,Polysulfide construction joint sealants,relatedTo,C,0.25,,
naics:23,Construction,uc:Pr_30_31_76_77,Silicone construction joint sealants,relatedTo,C,0.25,,
naics:23,Construction,uc:Pr_30_31_76_09,Butyl rubber construction joint sealants,relatedTo,C,0.2,,
naics:23,Construction,uc:Pr_30_31_76_65,Polyurethane (PUR) construction joint sealants,relatedTo,C,0.2,,
naics:23,Construction,uc:Pr_35_90_31_28,Floor construction joint trims,relatedTo,C,0.2,,
naics:23,Construction,uc:Pr_35_90_15,Concrete construction joint accessories ,relatedTo,D,0.167,,
naics:23,Construction,uc:Pr_35_90_53_42,Insulated render system construction and movement joints,relatedTo,D,0.167,,
naics:236,Construction of Buildings,uc:Pr_20_65,Prefabricated buildings and structures,coordinates,C,0.25,,
naics:236,Construction of Buildings,uc:Pr_30_31_76_16,Construction joint sealants,coordinates,C,0.25,,
naics:236,Construction of Buildings,uc:Pr_30_31_76_02,Acrylic construction joint sealants,coordinates,C,0.2,,
naics:236,Construction of Buildings,uc:Pr_30_31_76_62,Polysulfide construction joint sealants,coordinates,C,0.2,,
naics:236,Construction of Buildings,uc:Pr_30_31_76_77,Silicone construction joint sealants,coordinates,C,0.2,,
naics:236,Construction of Buildings,uc:Pr_30_31_76_09,Butyl rubber construction joint sealants,coordinates,D,0.167,,
naics:236,Construction of Buildings,uc:Pr_30_31_76_65,Polyurethane (PUR) construction joint sealants,coordinates,D,0.167,,
naics:236,Construction of Buildings,uc:Pr_35_90_31_28,Floor construction joint trims,coordinates,D,0.167,,
naics:2361,Residential Building Construction,uc:Pr_40_30_04,Animal housing,coordinates,A,0.571,,
naics:2361,Residential Building Construction,uc:Pr_65_70_50_37,Home run cables,coordinates,A,0.5,,
naics:2361,Residential Building Construction,uc:Pr_65_67_29_96,Whole dwelling fan units,coordinates,B,0.444,,
naics:2361,Residential Building Construction,uc:Pr_40_30_75_38,Home and office safes,coordinates,B,0.364,,
naics:23611,Residential Building Construction,uc:Pr_40_30_04,Animal housing,coordinates,A,0.571,,
naics:23611,Residential Building Construction,uc:Pr_65_70_50_37,Home run cables,coordinates,A,0.5,,
naics:23611,Residential Building Construction,uc:Pr_65_67_29_96,Whole dwelling fan units,coordinates,B,0.444,,
naics:23611,Residential Building Construction,uc:Pr_40_30_75_38,Home and office safes,coordinates,B,0.364,,
naics:236115,New Single-Family Housing Construction (except For-Sale Builders),uc:Pr_40_30_04,Animal housing,coordinates,B,0.333,,
naics:236115,New Single-Family Housing Construction (except For-Sale Builders),uc:Pr_65_70_50_37,Home run cables,coordinates,B,0.308,,
naics:236115,New Single-Family Housing Construction (except For-Sale Builders),uc:Pr_65_67_29_96,Whole dwelling fan units,coordinates,C,0.286,,
naics:236115,New Single-Family Housing Construction (except For-Sale Builders),uc:Pr_40_30_75_38,Home and office safes,coordinates,C,0.25,,
naics:236116,New Multifamily Housing Construction (except For-Sale Builders),uc:Pr_40_30_04,Animal housing,coordinates,B,0.364,,
naics:236116,New Multifamily Housing Construction (except For-Sale Builders),uc:Pr_65_70_50_37,Home run cables,coordinates,B,0.333,,
naics:236116,New Multifamily Housing Construction (except For-Sale Builders),uc:Pr_65_67_29_96,Whole dwelling fan units,coordinates,B,0.308,,
naics:236116,New Multifamily Housing Construction (except For-Sale Builders),uc:Pr_40_30_75_38,Home and office safes,coordinates,C,0.267,,
naics:236117,New Housing For-Sale Builders,uc:Pr_40_30_04,Animal housing,coordinates,A,0.5,,
naics:236117,New Housing For-Sale Builders,uc:Pr_65_70_50_37,Home run cables,coordinates,B,0.444,,
naics:236117,New Housing For-Sale Builders,uc:Pr_65_67_29_96,Whole dwelling fan units,coordinates,B,0.4,,
naics:236117,New Housing For-Sale Builders,uc:Pr_40_30_75_38,Home and office safes,coordinates,B,0.333,,
naics:236118,Residential Remodelers,uc:Pr_40_30_04,Animal housing,coordinates,A,0.667,,
naics:236118,Residential Remodelers,uc:Pr_65_70_50_37,Home run cables,coordinates,A,0.571,,
naics:236118,Residential Remodelers,uc:Pr_65_67_29_96,Whole dwelling fan units,coordinates,A,0.5,,
naics:236118,Residential Remodelers,uc:Pr_40_30_75_38,Home and office safes,coordinates,B,0.4,,
naics:2362,Nonresidential Building Construction,uc:Pr_25_57_10_09,Building papers,coordinates,C,0.25,,
naics:2362,Nonresidential Building Construction,uc:Pr_30_31_76_16,Construction joint sealants,coordinates,C,0.2,,
naics:2362,Nonresidential Building Construction,uc:Pr_25_57_10_12,Cellulose based building papers,coordinates,D,0.167,,
naics:2362,Nonresidential Building Construction,uc:Pr_30_31_76_02,Acrylic construction joint sealants,coordinates,D,0.167,,
naics:2362,Nonresidential Building Construction,uc:Pr_30_31_76_62,Polysulfide construction joint sealants,coordinates,D,0.167,,
naics:2362,Nonresidential Building Construction,uc:Pr_30_31_76_77,Silicone construction joint sealants,coordinates,D,0.167,,
naics:23621,Industrial Building Construction,uc:Pr_40_70_99_42,Industrial scales,coordinates,A,0.571,,
naics:23621,Industrial Building Construction,uc:Pr_65_72_97_40,Industrial plugs,coordinates,A,0.571,,
naics:23621,Industrial Building Construction,uc:Pr_70_75_94_42,Industrial bells,coordinates,A,0.571,,
naics:23621,Industrial Building Construction,uc:Pr_35_31_64_29,Factory-mixed plasters,coordinates,A,0.5,,
naics:23621,Industrial Building Construction,uc:Pr_40_30_30_42,Industrial work benches,coordinates,A,0.5,,
naics:23621,Industrial Building Construction,uc:Pr_65_72_97_41,Industrial socket outlets,coordinates,A,0.5,,
naics:23621,Industrial Building Construction,uc:Pr_45_31_89_81,Soil amelioration industrial by-products,coordinates,B,0.444,,
naics:23621,Industrial Building Construction,uc:Pr_65_54_33_43,Industrial vacuum flow regulating valves,coordinates,B,0.4,,
naics:23621,Industrial Building Construction,uc:Pr_30_59_72_30,Factory-assembled insulating rooflights (FAIRs),coordinates,B,0.333,,
naics:236210,Industrial Building Construction,uc:Pr_40_70_99_42,Industrial scales,coordinates,A,0.571,,
naics:236210,Industrial Building Construction,uc:Pr_65_72_97_40,Industrial plugs,coordinates,A,0.571,,
naics:236210,Industrial Building Construction,uc:Pr_70_75_94_42,Industrial bells,coordinates,A,0.571,,
naics:236210,Industrial Building Construction,uc:Pr_35_31_64_29,Factory-mixed plasters,coordinates,A,0.5,,
naics:236210,Industrial Building Construction,uc:Pr_40_30_30_42,Industrial work benches,coordinates,A,0.5,,
naics:236210,Industrial Building Construction,uc:Pr_65_72_97_41,Industrial socket outlets,coordinates,A,0.5,,
naics:236210,Industrial Building Construction,uc:Pr_45_31_89_81,Soil amelioration industrial by-products,coordinates,B,0.444,,
naics:236210,Industrial Building Construction,uc:Pr_65_54_33_43,Industrial vacuum flow regulating valves,coordinates,B,0.4,,
naics:236210,Industrial Building Construction,uc:Pr_30_59_72_30,Factory-assembled insulating rooflights (FAIRs),coordinates,B,0.333,,
naics:23622,Commercial and Institutional Building Construction,uc:Pr_40_50_12_57,Office chairs,coordinates,A,0.5,,
naics:23622,Commercial and Institutional Building Construction,uc:Pr_40_50_21_59,Office desks,coordinates,A,0.5,,
naics:23622,Commercial and Institutional Building Construction,uc:Pr_40_50_21_60,Office tables,coordinates,A,0.5,,
naics:23622,Commercial and Institutional Building Construction,uc:Pr_40_70_58,Office equipment,coordinates,A,0.5,,
naics:23622,Commercial and Institutional Building Construction,uc:Pr_40_30_25_71,Retail display fittings,coordinates,B,0.444,,
naics:23622,Commercial and Institutional Building Construction,uc:Pr_40_30_78_71,Retail shelf units,coordinates,B,0.444,,
naics:23622,Commercial and Institutional Building Construction,uc:Pr_40_30_87_57,Office storage units,coordinates,B,0.444,,
naics:23622,Commercial and Institutional Building Construction,uc:Pr_40_30_87_72,Retail storage units,coordinates,B,0.444,,
naics:23622,Commercial and Institutional Building Construction,uc:Pr_40_70_17,Commercial cooking equipment,coordinates,B,0.444,,
naics:23622,Commercial and Institutional Building Construction,uc:Pr_40_70_17_16,Commercial conveyor toasters,coordinates,B,0.444,,
naics:236220,Commercial and Institutional Building Construction,uc:Pr_40_50_12_57,Office chairs,coordinates,A,0.5,,
naics:236220,Commercial and Institutional Building Construction,uc:Pr_40_50_21_59,Office desks,coordinates,A,0.5,,
naics:236220,Commercial and Institutional Building Construction,uc:Pr_40_50_21_60,Office tables,coordinates,A,0.5,,
naics:236220,Commercial and Institutional Building Construction,uc:Pr_40_70_58,Office equipment,coordinates,A,0.5,,
naics:236220,Commercial and Institutional Building Construction,uc:Pr_40_30_25_71,Retail display fittings,coordinates,B,0.444,,
naics:236220,Commercial and Institutional Building Construction,uc:Pr_40_30_78_71,Retail shelf units,coordinates,B,0.444,,
naics:236220,Commercial and Institutional Building Construction,uc:Pr_40_30_87_57,Office storage units,coordinates,B,0.444,,
naics:236220,Commercial and Institutional Building Construction,uc:Pr_40_30_87_72,Retail storage units,coordinates,B,0.444,,
naics:236220,Commercial and Institutional Building Construction,uc:Pr_40_70_17,Commercial cooking equipment,coordinates,B,0.444,,
naics:236220,Commercial and Institutional Building Construction,uc:Pr_40_70_17_16,Commercial conveyor toasters,coordinates,B,0.444,,
naics:237,Heavy and Civil Engineering Construction,uc:Pr_20_93_52_27,Engineering bricks,produces,C,0.2,,
naics:237,Heavy and Civil Engineering Construction,uc:Pr_20_29_57_37,Heavy hex nuts,produces,D,0.167,,
naics:237,Heavy and Civil Engineering Construction,uc:Pr_20_31_02_36,Heavy-duty pastes,produces,D,0.167,,
naics:237,Heavy and Civil Engineering Construction,uc:Pr_30_31_76_16,Construction joint sealants,produces,D,0.167,,
naics:237,Heavy and Civil Engineering Construction,uc:Pr_85,Process engineering products,produces,D,0.167,,
naics:2371,Utility System Construction,uc:Pr_35_90_53_42,Insulated render system construction and movement joints,produces,C,0.286,,
naics:2371,Utility System Construction,uc:Pr_30_31_76_16,Construction joint sealants,produces,C,0.2,,
