source_id,source_name,target_id,target_name,relationship,confidence,score,decision,notes
naics:2361,Residential Building Construction,uc:Ss_55_20_14_70,Residential central vacuum systems,coordinates,B,0.444,,
naics:2361,Residential Building Construction,uc:Ss_55_30_98_23,Domestic and residential sprinkler systems,coordinates,B,0.444,,
naics:2361,Residential Building Construction,uc:Ss_90_45,Specific demand of residential organizations,coordinates,B,0.444,,
naics:2361,Residential Building Construction,uc:Ss_40_45_70,Residential living space FF&E systems,coordinates,B,0.364,,
naics:2361,Residential Building Construction,uc:Ss_55_30_98_70,Residential water mist systems,coordinates,B,0.308,,
naics:23611,Residential Building Construction,uc:Ss_55_20_14_70,Residential central vacuum systems,coordinates,B,0.444,,
naics:23611,Residential Building Construction,uc:Ss_55_30_98_23,Domestic and residential sprinkler systems,coordinates,B,0.444,,
naics:23611,Residential Building Construction,uc:Ss_90_45,Specific demand of residential organizations,coordinates,B,0.444,,
naics:23611,Residential Building Construction,uc:Ss_40_45_70,Residential living space FF&E systems,coordinates,B,0.364,,
naics:23611,Residential Building Construction,uc:Ss_55_30_98_70,Residential water mist systems,coordinates,B,0.308,,
naics:236115,New Single-Family Housing Construction (except For-Sale Builders),uc:Ss_55_20_14_70,Residential central vacuum systems,coordinates,C,0.286,,
naics:236115,New Single-Family Housing Construction (except For-Sale Builders),uc:Ss_55_30_98_23,Domestic and residential sprinkler systems,coordinates,C,0.286,,
naics:236115,New Single-Family Housing Construction (except For-Sale Builders),uc:Ss_90_45,Specific demand of residential organizations,coordinates,C,0.286,,
naics:236115,New Single-Family Housing Construction (except For-Sale Builders),uc:Ss_40_45_70,Residential living space FF&E systems,coordinates,C,0.25,,
naics:236115,New Single-Family Housing Construction (except For-Sale Builders),uc:Ss_55_30_98_70,Residential water mist systems,coordinates,C,0.222,,
naics:236116,New Multifamily Housing Construction (except For-Sale Builders),uc:Ss_55_20_14_70,Residential central vacuum systems,coordinates,B,0.308,,
naics:236116,New Multifamily Housing Construction (except For-Sale Builders),uc:Ss_55_30_98_23,Domestic and residential sprinkler systems,coordinates,B,0.308,,
naics:236116,New Multifamily Housing Construction (except For-Sale Builders),uc:Ss_90_45,Specific demand of residential organizations,coordinates,B,0.308,,
naics:236116,New Multifamily Housing Construction (except For-Sale Builders),uc:Ss_40_45_70,Residential living space FF&E systems,coordinates,C,0.267,,
naics:236116,New Multifamily Housing Construction (except For-Sale Builders),uc:Ss_55_30_98_70,Residential water mist systems,coordinates,C,0.235,,
naics:236117,New Housing For-Sale Builders,uc:Ss_55_20_14_70,Residential central vacuum systems,coordinates,B,0.4,,
naics:236117,New Housing For-Sale Builders,uc:Ss_55_30_98_23,Domestic and residential sprinkler systems,coordinates,B,0.4,,
naics:236117,New Housing For-Sale Builders,uc:Ss_90_45,Specific demand of residential organizations,coordinates,B,0.4,,
naics:236117,New Housing For-Sale Builders,uc:Ss_40_45_70,Residential living space FF&E systems,coordinates,B,0.333,,
naics:236117,New Housing For-Sale Builders,uc:Ss_55_30_98_70,Residential water mist systems,coordinates,C,0.286,,
naics:236118,Residential Remodelers,uc:Ss_55_20_14_70,Residential central vacuum systems,coordinates,A,0.5,,
naics:236118,Residential Remodelers,uc:Ss_55_30_98_23,Domestic and residential sprinkler systems,coordinates,A,0.5,,
naics:236118,Residential Remodelers,uc:Ss_90_45,Specific demand of residential organizations,coordinates,A,0.5,,
naics:236118,Residential Remodelers,uc:Ss_40_45_70,Residential living space FF&E systems,coordinates,B,0.4,,
naics:236118,Residential Remodelers,uc:Ss_55_30_98_70,Residential water mist systems,coordinates,B,0.333,,
naics:2362,Nonresidential Building Construction,uc:Ss_20_40_10,Building cable systems,coordinates,C,0.2,,
naics:2362,Nonresidential Building Construction,uc:Ss_40_10_35_10,Building signage systems,coordinates,C,0.2,,
naics:2362,Nonresidential Building Construction,uc:Ss_15_30_10,Building services remediation systems,coordinates,D,0.167,,
naics:2362,Nonresidential Building Construction,uc:Ss_75_70_54_10,Building monitoring and management systems,coordinates,D,0.167,,
naics:23621,Industrial Building Construction,uc:Ss_25_30_20_40,Industrial doorset systems,coordinates,A,0.5,,
naics:23621,Industrial Building Construction,uc:Ss_35_10_30_40,Industrial stair systems,coordinates,A,0.5,,
naics:23621,Industrial Building Construction,uc:Ss_80_50_96,Warehouse stacking systems,coordinates,A,0.5,,
naics:23621,Industrial Building Construction,uc:Ss_80_80_40,Industrial turntable systems,coordinates,A,0.5,,
naics:23621,Industrial Building Construction,uc:Ss_40_30_42,Industrial FF&E systems,coordinates,B,0.444,,
naics:23621,Industrial Building Construction,uc:Ss_40_30_42_29,Factory FF&E systems,coordinates,B,0.444,,
naics:23621,Industrial Building Construction,uc:Ss_40_30_42_96,Warehouse FF&E systems,coordinates,B,0.444,,
naics:23621,Industrial Building Construction,uc:Ss_55_20_14_40,Industrial central vacuum systems,coordinates,B,0.444,,
naics:23621,Industrial Building Construction,uc:Ss_65_40_42,Industrial fume extract systems,coordinates,B,0.444,,
naics:23621,Industrial Building Construction,uc:Ss_90_30,Specific demand of industrial organizations,coordinates,B,0.444,,
naics:236210,Industrial Building Construction,uc:Ss_25_30_20_40,Industrial doorset systems,coordinates,A,0.5,,
naics:236210,Industrial Building Construction,uc:Ss_35_10_30_40,Industrial stair systems,coordinates,A,0.5,,
naics:236210,Industrial Building Construction,uc:Ss_80_50_96,Warehouse stacking systems,coordinates,A,0.5,,
naics:236210,Industrial Building Construction,uc:Ss_80_80_40,Industrial turntable systems,coordinates,A,0.5,,
naics:236210,Industrial Building Construction,uc:Ss_40_30_42,Industrial FF&E systems,coordinates,B,0.444,,
naics:236210,Industrial Building Construction,uc:Ss_40_30_42_29,Factory FF&E systems,coordinates,B,0.444,,
naics:236210,Industrial Building Construction,uc:Ss_40_30_42_96,Warehouse FF&E systems,coordinates,B,0.444,,
naics:236210,Industrial Building Construction,uc:Ss_55_20_14_40,Industrial central vacuum systems,coordinates,B,0.444,,
naics:236210,Industrial Building Construction,uc:Ss_65_40_42,Industrial fume extract systems,coordinates,B,0.444,,
naics:236210,Industrial Building Construction,uc:Ss_90_30,Specific demand of industrial organizations,coordinates,B,0.444,,
naics:23622,Commercial and Institutional Building Construction,uc:Ss_40_15_58,Office equipment systems,coordinates,B,0.444,,
naics:23622,Commercial and Institutional Building Construction,uc:Ss_40_20_01_60,Office FF&E systems,coordinates,B,0.4,,
naics:23622,Commercial and Institutional Building Construction,uc:Ss_40_20_15,Commercial FF&E systems,coordinates,B,0.4,,
naics:23622,Commercial and Institutional Building Construction,uc:Ss_40_20_15_71,Retail FF&E systems,coordinates,B,0.4,,
naics:23622,Commercial and Institutional Building Construction,uc:Ss_40_15_25_15,Commercial catering FF&E systems,coordinates,B,0.364,,
naics:23622,Commercial and Institutional Building Construction,uc:Ss_40_15_46_15,Commercial laundry FF&E systems,coordinates,B,0.364,,
naics:23622,Commercial and Institutional Building Construction,uc:Ss_90_20,"Specific demand of administrative, commercial and protective services",coordinates,B,0.333,,
naics:23622,Commercial and Institutional Building Construction,uc:Ss_40_20,"Administrative, commercial and protective service FF&E systems",coordinates,B,0.308,,
naics:23622,Commercial and Institutional Building Construction,uc:Ss_50_30_04_15,Commercial catering wastewater drainage systems,coordinates,B,0.308,,
naics:236220,Commercial and Institutional Building Construction,uc:Ss_40_15_58,Office equipment systems,coordinates,B,0.444,,
naics:236220,Commercial and Institutional Building Construction,uc:Ss_40_20_01_60,Office FF&E systems,coordinates,B,0.4,,
naics:236220,Commercial and Institutional Building Construction,uc:Ss_40_20_15,Commercial FF&E systems,coordinates,B,0.4,,
naics:236220,Commercial and Institutional Building Construction,uc:Ss_40_20_15_71,Retail FF&E systems,coordinates,B,0.4,,
naics:236220,Commercial and Institutional Building Construction,uc:Ss_40_15_25_15,Commercial catering FF&E systems,coordinates,B,0.364,,
naics:236220,Commercial and Institutional Building Construction,uc:Ss_40_15_46_15,Commercial laundry FF&E systems,coordinates,B,0.364,,
naics:236220,Commercial and Institutional Building Construction,uc:Ss_90_20,"Specific demand of administrative, commercial and protective services",coordinates,B,0.333,,
naics:236220,Commercial and Institutional Building Construction,uc:Ss_40_20,"Administrative, commercial and protective service FF&E systems",coordinates,B,0.308,,
naics:236220,Commercial and Institutional Building Construction,uc:Ss_50_30_04_15,Commercial catering wastewater drainage systems,coordinates,B,0.308,,
naics:237,Heavy and Civil Engineering Construction,uc:Ss_85,Process engineering systems,produces,D,0.167,,
naics:23711,Water and Sewer Line and Related Structures Construction,uc:Ss_50_35_45_85,Subsoil drainage pipe drain systems,produces,A,0.562,,
naics:23711,Water and Sewer Line and Related Structures Construction,uc:Ss_50_35_80,Storm water gravity drainage systems,produces,A,0.562,,
naics:23711,Water and Sewer Line and Related Structures Construction,uc:Ss_75_70_96,Water supply and wastewater control systems,produces,A,0.562,,
naics:23711,Water and Sewer Line and Related Structures Construction,uc:Ss_50_35_08_85,Surface water below-ground drainage pipeline systems,produces,A,0.5,,
naics:23711,Water and Sewer Line and Related Structures Construction,uc:Ss_50_70_05_85,Below-ground drainage surface water storage tank systems,produces,B,0.474,,
naics:23711,Water and Sewer Line and Related Structures Construction,uc:Ss_30_30_72_21,Daylight pipe systems,produces,B,0.333,,
naics:23711,Water and Sewer Line and Related Structures Construction,uc:Ss_50_70_85_96,Water butt systems,produces,B,0.333,,
naics:23711,Water and Sewer Line and Related Structures Construction,uc:Ss_55_30_96,Water firefighting systems,produces,B,0.333,,
naics:23711,Water and Sewer Line and Related Structures Construction,uc:Ss_55_30_98_96,Water mist systems,produces,B,0.333,,
naics:23711,Water and Sewer Line and Related Structures Construction,uc:Ss_55_70_96,Water feature systems,produces,B,0.333,,
naics:237110,Water and Sewer Line and Related Structures Construction,uc:Ss_50_35_45_85,Subsoil drainage pipe drain systems,produces,A,0.562,,
naics:237110,Water and Sewer Line and Related Structures Construction,uc:Ss_50_35_80,Storm water gravity drainage systems,produces,A,0.562,,
naics:237110,Water and Sewer Line and Related Structures Construction,uc:Ss_75_70_96,Water supply and wastewater control systems,produces,A,0.562,,
naics:237110,Water and Sewer Line and Related Structures Construction,uc:Ss_50_35_08_85,Surface water below-ground drainage pipeline systems,produces,A,0.5,,
naics:237110,Water and Sewer Line and Related Structures Construction,uc:Ss_50_70_05_85,Below-ground drainage surface water storage tank systems,produces,B,0.474,,
naics:237110,Water and Sewer Line and Related Structures Construction,uc:Ss_30_30_72_21,Daylight pipe systems,produces,B,0.333,,
naics:237110,Water and Sewer Line and Related Structures Construction,uc:Ss_50_70_85_96,Water butt systems,produces,B,0.333,,
naics:237110,Water and Sewer Line and Related Structures Construction,uc:Ss_55_30_96,Water firefighting systems,produces,B,0.333,,
naics:237110,Water and Sewer Line and Related Structures Construction,uc:Ss_55_30_98_96,Water mist systems,produces,B,0.333,,
naics:237110,Water and Sewer Line and Related Structures Construction,uc:Ss_55_70_96,Water feature systems,produces,B,0.333,,
naics:23713,Power and Communication Line and Related Structures Construction,uc:Ss_70,Electrical systems,produces,B,0.4,,
naics:23713,Power and Communication Line and Related Structures Construction,uc:Ss_70_30_60,Overhead line traction power distribution systems,produces,B,0.385,,
naics:23713,Power and Communication Line and Related Structures Construction,uc:Ss_25_14_67_27,Electric fencing systems,produces,B,0.364,,
naics:23713,Power and Communication Line and Related Structures Construction,uc:Ss_70_30_80,Small power systems,produces,B,0.364,,
naics:23713,Power and Communication Line and Related Structures Construction,uc:Ss_70_95,Temporary electrical systems,produces,B,0.364,,
naics:23713,Power and Communication Line and Related Structures Construction,uc:Ss_75_50_45,Electrical protection systems,produces,B,0.364,,
naics:23713,Power and Communication Line and Related Structures Construction,uc:Ss_85_50,Mechanical power systems,produces,B,0.364,,
naics:23713,Power and Communication Line and Related Structures Construction,uc:Ss_85_50_65,Power supply systems,produces,B,0.364,,
naics:23713,Power and Communication Line and Related Structures Construction,uc:Ss_85_50_65_38,Hydraulic power systems,produces,B,0.364,,
naics:23713,Power and Communication Line and Related Structures Construction,uc:Ss_15_95_70,Temporary electrical works systems,produces,B,0.333,,
naics:237130,Power and Communication Line and Related Structures Construction,uc:Ss_70,Electrical systems,produces,B,0.4,,
naics:237130,Power and Communication Line and Related Structures Construction,uc:Ss_70_30_60,Overhead line traction power distribution systems,produces,B,0.385,,
naics:237130,Power and Communication Line and Related Structures Construction,uc:Ss_25_14_67_27,Electric fencing systems,produces,B,0.364,,
naics:237130,Power and Communication Line and Related Structures Construction,uc:Ss_70_30_80,Small power systems,produces,B,0.364,,
naics:237130,Power and Communication Line and Related Structures Construction,uc:Ss_70_95,Temporary electrical systems,produces,B,0.364,,
naics:237130,Power and Communication Line and Related Structures Construction,uc:Ss_75_50_45,Electrical protection systems,produces,B,0.364,,
naics:237130,Power and Communication Line and Related Structures Construction,uc:Ss_85_50,Mechanical power systems,produces,B,0.364,,
naics:237130,Power and Communication Line and Related Structures Construction,uc:Ss_85_50_65,Power supply systems,produces,B,0.364,,
naics:237130,Power and Communication Line and Related Structures Construction,uc:Ss_85_50_65_38,Hydraulic power systems,produces,B,0.364,,
naics:237130,Power and Communication Line and Related Structures Construction,uc:Ss_15_95_70,Temporary electrical works systems,produces,B,0.333,,
naics:2372,Land Subdivision,uc:Ss_45_55,Land fauna systems,produces,C,0.25,,
naics:23721,Land Subdivision,uc:Ss_45_55,Land fauna systems,produces,C,0.25,,
naics:237210,Land Subdivision,uc:Ss_45_55,Land fauna systems,produces,C,0.25,,
